left_derivative,right_derivative,strain_energy
-0.040000000000000036,0.9445482255552043,4.569378978846679
-0.020000000000000018,0.9722741127776021,4.277796519156453
0.0,1.0,4.000000000000007
0.020000000000000018,1.0277258872223978,3.7359894213772833
0.040000000000000036,1.0554517744447958,3.485764783288289
0.06000000000000005,1.0831776616671935,3.2493260857330455
0.08000000000000007,1.1109035488895913,3.0266733287115386
0.10000000000000009,1.138629436111989,2.817806512223754
0.1200000000000001,1.166355323334387,2.62272563626971
0.14000000000000012,1.1940812105567848,2.4414307008494163
0.15999999999999992,1.2218070977791824,2.2739217059628487
0.17999999999999994,1.2495329850015802,2.120198651610007
0.19999999999999996,1.2772588722239782,1.9802615377909305
0.21999999999999997,1.304984759446376,1.8541103645055657
0.24,1.3327106466687737,1.7417451317539445
0.26,1.3604365338911717,1.64316583953606
0.28,1.3881624211135695,1.5583724878519174
0.30000000000000004,1.4158883083359672,1.4873650767015043
0.32000000000000006,1.443614195558365,1.4301436060848296
0.3400000000000001,1.4713400827807628,1.3867080760018906
0.3600000000000001,1.4990659700031608,1.3570584864526913
0.3800000000000001,1.5267918572255585,1.3411948374372287
0.40000000000000013,1.5545177444479563,1.3391171289555013
0.41999999999999993,1.5822436316703539,1.3508253610075098
0.43999999999999995,1.6099695188927519,1.376319533593257
0.45999999999999996,1.6376954061151496,1.415599646712739
0.48,1.6654212933375474,1.4686657003659587
0.5,1.6931471805599454,1.5355176945529152
0.52,1.7208730677823432,1.6161556292736081
0.54,1.748598955004741,1.7105795045280376
0.56,1.776324842227139,1.8187893203162044
0.5800000000000001,1.8040507294495365,1.9407850766381065
0.6000000000000001,1.8317766166719345,2.076566773493748
0.6200000000000001,1.8595025038943322,2.226134410883123
0.6400000000000001,1.88722839111673,2.3894879888062395
0.6600000000000001,1.914954278339128,2.5666275072630853
0.6799999999999999,1.9426801655615256,2.757552966253673
0.7,1.9704060527839233,2.962264365777994
0.72,1.998131940006321,3.1807617058360513
0.74,2.025857827228719,3.413044986427849
0.76,2.0535837144511166,3.6591142075533796
0.78,2.0813096016735146,3.918969369212654
0.8,2.1090354888959126,4.192610471405665
0.8200000000000001,2.1367613761183106,4.480037514132391
0.8400000000000001,2.164487263340708,4.781250497392875
0.8600000000000001,2.1922131505631057,5.096249421187103
0.8800000000000001,2.2199390377855037,5.425034285515068
0.9000000000000001,2.2476649250079017,5.7676050903767475
0.9199999999999999,2.2753908122302993,6.123961835772178
0.94,2.303116699452697,6.494104521701317
0.96,2.330842586675095,6.878033148164249
0.98,2.358568473897493,7.275747715160847
1.0,2.386294361119891,7.687248222691238
1.02,2.4140202483422883,8.112534670755338
1.04,2.4417461355646863,8.551607059353245
1.06,2.469472022787084,9.004465388484789
1.08,2.497197910009482,9.471109658150056
1.1,2.52492379723188,9.951539868349116
1.12,2.552649684454278,10.445756019081983
1.1400000000000001,2.5803755716766754,10.953758110348474
1.1600000000000001,2.608101458899073,11.475546142148687
1.1800000000000002,2.635827346121471,12.01112011448268
1.2000000000000002,2.663553233343869,12.56048002735048
1.2200000000000002,2.691279120566267,13.123625880751973
1.2400000000000002,2.7190050077886645,13.700557674687161
1.2600000000000002,2.7467308950110625,14.291275409156128
1.2800000000000002,2.77445678223346,14.895779084158818
1.3000000000000003,2.802182669455858,15.51406869969523
1.3199999999999998,2.829908556678255,16.14614425576542
1.3399999999999999,2.857634443900653,16.792005752369306
1.3599999999999999,2.885360331123051,17.451653189507
1.38,2.913086218345449,18.12508656717833
1.4,2.9408121055678467,18.812305885383353
1.42,2.968537992790244,19.513311144122213
1.44,2.996263880012642,20.228102343394653
1.46,3.02398976723504,20.956679483201043
1.48,3.051715654457438,21.69904256354124
1.5,3.0794415416798357,22.455191584414877
1.52,3.1071674289022337,23.225126545822434
1.54,3.1348933161246317,24.0088474477638
1.56,3.1626192033470293,24.806354290238858
1.58,3.1903450905694273,25.617647073247554
1.6,3.218070977791825,26.442725796789944
1.62,3.245796865014223,27.28159046086614
1.6400000000000001,3.273522752236621,28.134241065476033
