degree,constraint_order,regularization,feasible,eval_point,estimate,truth,abs_error,log10_abs_error,strain_energy,elapsed_ms,schur_condition_number,log10_schur_condition_number,constraint_count,status
18,7,1e-14,1,1.5,1.3368928536689937,1.329340388179137,0.0075524654898566634,-2.121911250510036,1.7472925805164279,1.6129160000000198,5032395164576558.0,15.701774736383317,9.0,ok
18,8,1e-14,1,1.5,1.3364220244686047,1.329340388179137,0.007081636289467674,-2.1498663822282116,1.7526731156807929,2.492959000000017,2.419903512981949e+16,16.38379805002386,10.0,ok
20,1,1e-14,1,1.5,1.3392857136898932,1.329340388179137,0.00994532551075622,-2.0023809978375127,1.7142866549044453,1.9120829999998978,1558367275035.0295,12.19266981965458,3.0,ok
20,2,1e-14,1,1.5,1.3388576867154505,1.329340388179137,0.009517298536313445,-2.0214863076308442,1.7200241749400782,1.1159999999998949,67972995692575.46,13.832336410485533,4.0,ok
20,3,1e-14,1,1.5,1.3387349820245484,1.329340388179137,0.009394593845411414,-2.0271219909237,1.7219661630399576,0.8846670000000056,109867514528953.62,14.040869299826882,5.0,ok
20,4,1e-14,1,1.5,1.3383306854770476,1.329340388179137,0.008990297297910566,-2.0462259464528465,1.727407155298873,0.9074580000001387,176606182879869.62,14.247005903905228,6.0,ok
20,5,1e-14,1,1.5,1.338070429694169,1.329340388179137,0.008730041515031983,-2.058983691035961,1.7308656702154666,0.977374999999947,482149240407062.6,14.683181486896933,7.0,ok
20,6,1e-14,1,1.5,1.3377074387893892,1.329340388179137,0.008367050610252225,-2.0774276040647486,1.7354791905593063,1.7255830000000305,1034680022180348.1,15.014806063718737,8.0,ok
20,7,1e-14,1,1.5,1.3374459693370186,1.329340388179137,0.008105581157881625,-2.091215841443132,1.740242712614784,2.4716670000000107,4343216849829537.5,15.637811513528309,9.0,ok
20,8,1e-14,1,1.5,1.337120478515717,1.329340388179137,0.007780090336579892,-2.1090153602788986,1.7443917051020672,30.871250000000128,1.835486060373345e+16,16.263751090596518,10.0,ok
24,1,1e-14,1,1.5,1.339285710736824,1.329340388179137,0.009945322557686875,-2.00238112679276,1.714288479481695,2.016624999999994,1076565384127.1853,12.032040411403651,3.0,ok
24,2,1e-14,1,1.5,1.3389969353663944,1.329340388179137,0.009656547187257392,-2.015178132961102,1.718168767332092,1.7041250000000563,68380363744514.69,13.83493140666554,4.0,ok
24,3,1e-14,1,1.5,1.3389091361475174,1.329340388179137,0.009568747968380364,-2.01914488416629,1.7194976516179952,5.606458000000147,109152238235167.84,14.038032645617456,5.0,ok
24,4,1e-14,1,1.5,1.3386376306681358,1.329340388179137,0.00929724248899877,-2.0316458417031265,1.7231593470240145,2.562667000000074,175350742100649.16,14.24390760819605,6.0,ok
24,5,1e-14,1,1.5,1.3384630441340895,1.329340388179137,0.00912265595495243,-2.039878703485778,1.725477772873872,2.1272909999998646,445825431035981.56,14.649164838131624,7.0,ok
24,6,1e-14,1,1.5,1.3382272678789013,1.329340388179137,0.008886879699764316,-2.0512506987652452,1.7285421955051299,2.0218329999999174,885052662458688.9,14.946969112883998,8.0,ok
24,7,1e-14,1,1.5,1.3380414581408546,1.329340388179137,0.0087010699617176,-2.060427339347116,1.7316208263138975,2.4141250000000447,3539361613580267.0,15.548924936403989,9.0,ok
