run_id,sequence_code,sequence,degree,constraint_order,lambda_energy,lambda_residual,z,value,truth,abs_error,status
C_deg8_ord4_le1_lr1,C,factorial_type,8,4,1.0,1.0,0.5,0.9227547017902348,0.8862269254527578,0.03652777633747695,ok
C_deg8_ord4_le1_lr1,C,factorial_type,8,4,1.0,1.0,1.5,1.3841320526853522,1.329340388179137,0.0547916645062152,ok
C_deg8_ord4_le1_lr1,C,factorial_type,8,4,1.0,1.0,2.5,3.4603301317133806,3.323350970447842,0.13697916126553844,ok
C_deg8_ord4_le1_lr10,C,factorial_type,8,4,1.0,10.0,0.5,0.8942036381022223,0.8862269254527578,0.007976712649464424,ok
C_deg8_ord4_le1_lr10,C,factorial_type,8,4,1.0,10.0,1.5,1.3413054571533334,1.329340388179137,0.011965068974196358,ok
C_deg8_ord4_le1_lr10,C,factorial_type,8,4,1.0,10.0,2.5,3.3532636428833333,3.323350970447842,0.029912672435491228,ok
C_deg8_ord4_le1_lr100,C,factorial_type,8,4,1.0,100.0,0.5,0.8882470452746168,0.8862269254527578,0.002020119821859012,ok
C_deg8_ord4_le1_lr100,C,factorial_type,8,4,1.0,100.0,1.5,1.3323705679119253,1.329340388179137,0.0030301797327882962,ok
C_deg8_ord4_le1_lr100,C,factorial_type,8,4,1.0,100.0,2.5,3.3309264197798134,3.323350970447842,0.007575449331971296,ok
C_deg10_ord4_le1_lr0.1,C,factorial_type,10,4,1.0,0.1,0.5,0.9676805635641612,0.8862269254527578,0.08145363811140338,ok
C_deg10_ord4_le1_lr0.1,C,factorial_type,10,4,1.0,0.1,1.5,1.4515208453462418,1.329340388179137,0.1221804571671048,ok
C_deg10_ord4_le1_lr0.1,C,factorial_type,10,4,1.0,0.1,2.5,3.6288021133656043,3.323350970447842,0.3054511429177622,ok
C_deg10_ord4_le1_lr1,C,factorial_type,10,4,1.0,1.0,0.5,0.9227010975850919,0.8862269254527578,0.03647417213233406,ok
C_deg10_ord4_le1_lr1,C,factorial_type,10,4,1.0,1.0,1.5,1.3840516463776378,1.329340388179137,0.054711258198500756,ok
C_deg10_ord4_le1_lr1,C,factorial_type,10,4,1.0,1.0,2.5,3.4601291159440946,3.323350970447842,0.13677814549625245,ok
C_deg10_ord4_le1_lr10,C,factorial_type,10,4,1.0,10.0,0.5,0.8953980975888207,0.8862269254527578,0.009171172136062888,ok
C_deg10_ord4_le1_lr10,C,factorial_type,10,4,1.0,10.0,1.5,1.343097146383231,1.329340388179137,0.013756758204094055,ok
C_deg10_ord4_le1_lr10,C,factorial_type,10,4,1.0,10.0,2.5,3.3577428659580777,3.323350970447842,0.03439189551023558,ok
C_deg10_ord4_le1_lr100,C,factorial_type,10,4,1.0,100.0,0.5,0.890172236586147,0.8862269254527578,0.00394531113338914,ok
C_deg10_ord4_le1_lr100,C,factorial_type,10,4,1.0,100.0,1.5,1.3352583548792205,1.329340388179137,0.005917966700083488,ok
C_deg10_ord4_le1_lr100,C,factorial_type,10,4,1.0,100.0,2.5,3.3381458871980514,3.323350970447842,0.014794916750209275,ok
C_deg12_ord4_le1_lr0.1,C,factorial_type,12,4,1.0,0.1,0.5,0.9678483394157545,0.8862269254527578,0.08162141396299671,ok
C_deg12_ord4_le1_lr0.1,C,factorial_type,12,4,1.0,0.1,1.5,1.4517725091236318,1.329340388179137,0.12243212094449474,ok
C_deg12_ord4_le1_lr0.1,C,factorial_type,12,4,1.0,0.1,2.5,3.6294312728090796,3.323350970447842,0.3060803023612375,ok
C_deg12_ord4_le1_lr1,C,factorial_type,12,4,1.0,1.0,0.5,0.9230520448081436,0.8862269254527578,0.036825119355385794,ok
C_deg12_ord4_le1_lr1,C,factorial_type,12,4,1.0,1.0,1.5,1.3845780672122154,1.329340388179137,0.05523767903307841,ok
C_deg12_ord4_le1_lr1,C,factorial_type,12,4,1.0,1.0,2.5,3.4614451680305387,3.323350970447842,0.1380941975826966,ok
C_deg12_ord4_le1_lr10,C,factorial_type,12,4,1.0,10.0,0.5,0.8965093432729881,0.8862269254527578,0.010282417820230316,ok
C_deg12_ord4_le1_lr10,C,factorial_type,12,4,1.0,10.0,1.5,1.3447640149094822,1.329340388179137,0.015423626730345141,ok
C_deg12_ord4_le1_lr10,C,factorial_type,12,4,1.0,10.0,2.5,3.3619100372737054,3.323350970447842,0.0385590668258633,ok
C_deg12_ord4_le1_lr100,C,factorial_type,12,4,1.0,100.0,0.5,0.8915043424035661,0.8862269254527578,0.0052774169508083,ok
C_deg12_ord4_le1_lr100,C,factorial_type,12,4,1.0,100.0,1.5,1.3372565136053491,1.329340388179137,0.007916125426212117,ok
C_deg12_ord4_le1_lr100,C,factorial_type,12,4,1.0,100.0,2.5,3.343141284013373,3.323350970447842,0.019790313565530848,ok
